Gene,UniProt,Sample type,Tissue,Species,Repository,Reference,Confidence Score,Description,Coverage Map File,Total Ion Intensity
Itih2,Q61703,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1909.57,Inter-alpha-trypsin inhibitor heavy chain H2,Bronchoalveolar lavage of normal lung_Q61703.html,701131010
Itih2,Q61703,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1909.57,Inter-alpha-trypsin inhibitor heavy chain H2,Normal lung_Q61703.html,14667100
Itih2,Q61703,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1909.57,Inter-alpha-trypsin inhibitor heavy chain H2,Normal lung_Q61703.html,14667100
Itih2,Q61703,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1909.57,Inter-alpha-trypsin inhibitor heavy chain H2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61703.html,2874660
Itih2,Q61703,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1909.57,Inter-alpha-trypsin inhibitor heavy chain H2,Normal lung ECM (Quantitative detergent solubility profiling)_Q61703.html,41992300
Mfap4,Q9D1H9,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1898.75,Microfibril-associated glycoprotein 4,Bronchoalveolar lavage of fibrotic lung_Q9D1H9.html,936411010
Mfap4,Q9D1H9,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1898.75,Microfibril-associated glycoprotein 4,Bronchoalveolar lavage of normal lung_Q9D1H9.html,51895800
Mfap4,Q9D1H9,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1898.75,Microfibril-associated glycoprotein 4,Normal lung_Q9D1H9.html,1364749950
Mfap4,Q9D1H9,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1898.75,Microfibril-associated glycoprotein 4,Normal lung_Q9D1H9.html,1364749950
Mfap4,Q9D1H9,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1898.75,Microfibril-associated glycoprotein 4,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q9D1H9.html,55540900
Mfap4,Q9D1H9,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1898.75,Microfibril-associated glycoprotein 4,Normal lung ECM (Quantitative detergent solubility profiling)_Q9D1H9.html,1614649980
Anxa4,P97429,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1891.42,Annexin A4,Bronchoalveolar lavage of fibrotic lung_P97429.html,2849410050
Anxa4,P97429,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1891.42,Annexin A4,Bronchoalveolar lavage of normal lung_P97429.html,463204000
Anxa4,P97429,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1891.42,Annexin A4,Normal lung_P97429.html,511209984
Anxa4,P97429,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1891.42,Annexin A4,Normal lung_P97429.html,511209984
Anxa4,P97429,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1891.42,Annexin A4,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P97429.html,47328000
Anxa4,P97429,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1891.42,Annexin A4,Normal lung ECM (Quantitative detergent solubility profiling)_P97429.html,2532229890
Lamc1,P02468,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1842.66,Laminin subunit gamma-1,Bronchoalveolar lavage of fibrotic lung_P02468.html,77901600
Lamc1,P02468,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1842.66,Laminin subunit gamma-1,Normal lung_P02468.html,4196730110
Lamc1,P02468,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1842.66,Laminin subunit gamma-1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P02468.html,1785709950
Lamc1,P02468,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1842.66,Laminin subunit gamma-1,Normal lung ECM (Quantitative detergent solubility profiling)_P02468.html,11095100400
Prelp,Q9JK53,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1830.98,Prolargin,Normal lung_Q9JK53.html,251947008
Prelp,Q9JK53,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1830.98,Prolargin,Normal lung_Q9JK53.html,251947008
Prelp,Q9JK53,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1830.98,Prolargin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q9JK53.html,10706900
Prelp,Q9JK53,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1830.98,Prolargin,Normal lung ECM (Quantitative detergent solubility profiling)_Q9JK53.html,1485260030
Itih4,A6X935,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1732.87,Inter alpha-trypsin inhibitor, heavy chain 4,Bronchoalveolar lavage of fibrotic lung_A6X935.html,26466000900
Itih4,A6X935,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1732.87,Inter alpha-trypsin inhibitor, heavy chain 4,Bronchoalveolar lavage of normal lung_A6X935.html,452977984
Itih4,A6X935,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1732.87,Inter alpha-trypsin inhibitor, heavy chain 4,Normal lung_A6X935.html,21033700
Itih4,A6X935,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1732.87,Inter alpha-trypsin inhibitor, heavy chain 4,Normal lung_A6X935.html,21033700
Itih4,A6X935,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1732.87,Inter alpha-trypsin inhibitor, heavy chain 4,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_A6X935.html,45240200
Itih4,A6X935,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1732.87,Inter alpha-trypsin inhibitor, heavy chain 4,Normal lung ECM (Quantitative detergent solubility profiling)_A6X935.html,130580000
Col5a2,Q3U962,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1714.25,Collagen alpha-2(V) chain,Normal lung_Q3U962.html,176328000
Col5a2,Q3U962,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1714.25,Collagen alpha-2(V) chain,Normal lung_Q3U962.html,176328000
Col5a2,Q3U962,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1714.25,Collagen alpha-2(V) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q3U962.html,549051010
Col5a2,Q3U962,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1714.25,Collagen alpha-2(V) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q3U962.html,180243008
Serpinf2,Q61247,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1697.72,Alpha-2-antiplasmin,Bronchoalveolar lavage of fibrotic lung_Q61247.html,9337310200
Serpinf2,Q61247,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1697.72,Alpha-2-antiplasmin,Bronchoalveolar lavage of normal lung_Q61247.html,369755008
Serpinf2,Q61247,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1697.72,Alpha-2-antiplasmin,Normal lung_Q61247.html,4323700
Serpinf2,Q61247,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1697.72,Alpha-2-antiplasmin,Normal lung_Q61247.html,4323700
Serpinf2,Q61247,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1697.72,Alpha-2-antiplasmin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61247.html,23207400
Serpinf2,Q61247,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1697.72,Alpha-2-antiplasmin,Normal lung ECM (Quantitative detergent solubility profiling)_Q61247.html,12768400
Itih3,Q61704,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1616.08,Inter-alpha-trypsin inhibitor heavy chain H3,Bronchoalveolar lavage of fibrotic lung_Q61704.html,9555540000
Itih3,Q61704,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1616.08,Inter-alpha-trypsin inhibitor heavy chain H3,Bronchoalveolar lavage of normal lung_Q61704.html,110240000
Itih3,Q61704,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1616.08,Inter-alpha-trypsin inhibitor heavy chain H3,Normal lung_Q61704.html,28753.2
Dcn,P28654,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1589.07,Decorin,Bronchoalveolar lavage of normal lung_P28654.html,2884010
Dcn,P28654,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1589.07,Decorin,Normal lung_P28654.html,282064000
Dcn,P28654,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1589.07,Decorin,Normal lung_P28654.html,282064000
Dcn,P28654,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1589.07,Decorin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P28654.html,2899620
Dcn,P28654,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1589.07,Decorin,Normal lung ECM (Quantitative detergent solubility profiling)_P28654.html,906470020
S100a8,P27005,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1576.29,Protein S100-A8,Bronchoalveolar lavage of fibrotic lung_P27005.html,466300000
S100a8,P27005,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1576.29,Protein S100-A8,Bronchoalveolar lavage of normal lung_P27005.html,16315900
S100a8,P27005,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1576.29,Protein S100-A8,Normal lung_P27005.html,224865
S100a8,P27005,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1576.29,Protein S100-A8,Normal lung ECM (Quantitative detergent solubility profiling)_P27005.html,1778880000
Igfbp7,Q61581,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1507.11,Insulin-like growth factor-binding protein 7,Bronchoalveolar lavage of fibrotic lung_Q61581.html,195692992
Igfbp7,Q61581,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1507.11,Insulin-like growth factor-binding protein 7,Bronchoalveolar lavage of normal lung_Q61581.html,3253120
Igfbp7,Q61581,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1507.11,Insulin-like growth factor-binding protein 7,Normal lung_Q61581.html,13326500
Igfbp7,Q61581,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1507.11,Insulin-like growth factor-binding protein 7,Normal lung_Q61581.html,13326500
Igfbp7,Q61581,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1507.11,Insulin-like growth factor-binding protein 7,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61581.html,274068000
Igfbp7,Q61581,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1507.11,Insulin-like growth factor-binding protein 7,Normal lung ECM (Quantitative detergent solubility profiling)_Q61581.html,799137980
Kng1,O08677-2,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1504.51,Isoform LMW of Kininogen-1,Bronchoalveolar lavage of fibrotic lung_O08677-2.html,60141498000
Kng1,O08677-2,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1504.51,Isoform LMW of Kininogen-1,Bronchoalveolar lavage of normal lung_O08677-2.html,4075180030
Hspg2,Q05793,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1503.81,Basement membrane-specific heparan sulfate proteoglycan core protein,Bronchoalveolar lavage of fibrotic lung_Q05793.html,1468419970
Hspg2,Q05793,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1503.81,Basement membrane-specific heparan sulfate proteoglycan core protein,Normal lung_Q05793.html,18921599000
Hspg2,Q05793,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1503.81,Basement membrane-specific heparan sulfate proteoglycan core protein,Normal lung_Q05793.html,18921599000
Hspg2,Q05793,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1503.81,Basement membrane-specific heparan sulfate proteoglycan core protein,Normal lung ECM (Quantitative detergent solubility profiling)_Q05793.html,25744699400
Itih1,Q61702,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1466.01,Inter-alpha-trypsin inhibitor heavy chain H1,Bronchoalveolar lavage of fibrotic lung_Q61702.html,11213599700
Itih1,Q61702,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1466.01,Inter-alpha-trypsin inhibitor heavy chain H1,Bronchoalveolar lavage of normal lung_Q61702.html,285196000
Itih1,Q61702,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1466.01,Inter-alpha-trypsin inhibitor heavy chain H1,Normal lung_Q61702.html,13610300
Itih1,Q61702,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1466.01,Inter-alpha-trypsin inhibitor heavy chain H1,Normal lung_Q61702.html,13610300
Itih1,Q61702,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1466.01,Inter-alpha-trypsin inhibitor heavy chain H1,Normal lung ECM (Quantitative detergent solubility profiling)_Q61702.html,19891400
Fbln5,Q9WVH9,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1420.98,Fibulin-5,Bronchoalveolar lavage of fibrotic lung_Q9WVH9.html,240299008
Fbln5,Q9WVH9,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1420.98,Fibulin-5,Bronchoalveolar lavage of normal lung_Q9WVH9.html,18360100
Fbln5,Q9WVH9,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1420.98,Fibulin-5,Normal lung_Q9WVH9.html,742798980
Fbln5,Q9WVH9,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1420.98,Fibulin-5,Normal lung_Q9WVH9.html,742798980
Fbln5,Q9WVH9,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1420.98,Fibulin-5,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q9WVH9.html,173204000
Fbln5,Q9WVH9,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1420.98,Fibulin-5,Normal lung ECM (Quantitative detergent solubility profiling)_Q9WVH9.html,1724380030
Vtn,P29788,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1352.24,Vitronectin,Bronchoalveolar lavage of fibrotic lung_P29788.html,2326439940
Vtn,P29788,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1352.24,Vitronectin,Bronchoalveolar lavage of normal lung_P29788.html,115236000
Vtn,P29788,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1352.24,Vitronectin,Normal lung_P29788.html,149924992
Vtn,P29788,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1352.24,Vitronectin,Normal lung_P29788.html,149924992
Vtn,P29788,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1352.24,Vitronectin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P29788.html,34377700
Vtn,P29788,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1352.24,Vitronectin,Normal lung ECM (Quantitative detergent solubility profiling)_P29788.html,370124000
Ogn,Q62000,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1295.14,Mimecan,Bronchoalveolar lavage of fibrotic lung_Q62000.html,128864000
Ogn,Q62000,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1295.14,Mimecan,Bronchoalveolar lavage of normal lung_Q62000.html,10333000
Ogn,Q62000,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1295.14,Mimecan,Normal lung_Q62000.html,76976096
Ogn,Q62000,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1295.14,Mimecan,Normal lung_Q62000.html,76976096
Ogn,Q62000,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1295.14,Mimecan,Normal lung ECM (Quantitative detergent solubility profiling)_Q62000.html,1205139970
Loxl1,P97873,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1272.62,Lysyl oxidase homolog 1,Normal lung_P97873.html,397644992
Loxl1,P97873,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1272.62,Lysyl oxidase homolog 1,Normal lung_P97873.html,397644992
Loxl1,P97873,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1272.62,Lysyl oxidase homolog 1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P97873.html,109873000
Loxl1,P97873,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1272.62,Lysyl oxidase homolog 1,Normal lung ECM (Quantitative detergent solubility profiling)_P97873.html,303462016
Serping1,P97290,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1245.68,Plasma protease C1 inhibitor,Bronchoalveolar lavage of fibrotic lung_P97290.html,12933900300
Serping1,P97290,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1245.68,Plasma protease C1 inhibitor,Bronchoalveolar lavage of normal lung_P97290.html,307419008
Serping1,P97290,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1245.68,Plasma protease C1 inhibitor,Normal lung_P97290.html,4881450
Serping1,P97290,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1245.68,Plasma protease C1 inhibitor,Normal lung_P97290.html,4881450
Serping1,P97290,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1245.68,Plasma protease C1 inhibitor,Normal lung ECM (Quantitative detergent solubility profiling)_P97290.html,143664000
Col5a1,O88207,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1221.06,Collagen alpha-1(V) chain,Bronchoalveolar lavage of fibrotic lung_O88207.html,24428900
Col5a1,O88207,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1221.06,Collagen alpha-1(V) chain,Normal lung_O88207.html,152736992
Col5a1,O88207,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1221.06,Collagen alpha-1(V) chain,Normal lung_O88207.html,152736992
Col5a1,O88207,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1221.06,Collagen alpha-1(V) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_O88207.html,260948992
Col5a1,O88207,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1221.06,Collagen alpha-1(V) chain,Normal lung ECM (Quantitative detergent solubility profiling)_O88207.html,437900992
Serpina6,Q06770,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1214.47,Corticosteroid-binding globulin,Bronchoalveolar lavage of fibrotic lung_Q06770.html,9294409700
Serpina6,Q06770,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1214.47,Corticosteroid-binding globulin,Bronchoalveolar lavage of normal lung_Q06770.html,656433020
Serpina6,Q06770,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1214.47,Corticosteroid-binding globulin,Normal lung ECM (Quantitative detergent solubility profiling)_Q06770.html,135273
Tnc,Q80YX1,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1188.2,Tenascin,Bronchoalveolar lavage of fibrotic lung_Q80YX1.html,3070939900
Tnc,Q80YX1,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1188.2,Tenascin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q80YX1.html,259888000
Npnt,Q91V88-4,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1168.04,Isoform 4 of Nephronectin,Normal lung_Q91V88-4.html,41896200
Npnt,Q91V88-4,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1168.04,Isoform 4 of Nephronectin,Normal lung_Q91V88-4.html,41896200
Npnt,Q91V88-4,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1168.04,Isoform 4 of Nephronectin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q91V88-4.html,372927008
Npnt,Q91V88-4,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1168.04,Isoform 4 of Nephronectin,Normal lung ECM (Quantitative detergent solubility profiling)_Q91V88-4.html,464039008
Ctsb,P10605,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1094.88,Cathepsin B,Bronchoalveolar lavage of fibrotic lung_P10605.html,5706250200
Ctsb,P10605,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1094.88,Cathepsin B,Bronchoalveolar lavage of normal lung_P10605.html,411884992
Ctsb,P10605,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1094.88,Cathepsin B,Normal lung_P10605.html,57023.3
Ctsb,P10605,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1094.88,Cathepsin B,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P10605.html,1473220
Ctsb,P10605,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1094.88,Cathepsin B,Normal lung ECM (Quantitative detergent solubility profiling)_P10605.html,97786304
Col4a3,Q9QZS0,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1087.98,Collagen alpha-3(IV) chain,Normal lung_Q9QZS0.html,727961980
Col4a3,Q9QZS0,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1087.98,Collagen alpha-3(IV) chain,Normal lung_Q9QZS0.html,727961980
Col4a3,Q9QZS0,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1087.98,Collagen alpha-3(IV) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q9QZS0.html,85242704
Col4a3,Q9QZS0,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1087.98,Collagen alpha-3(IV) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q9QZS0.html,1322450050
Plg,P20918,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1071.2,Plasminogen,Bronchoalveolar lavage of fibrotic lung_P20918.html,10185400300
Plg,P20918,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1071.2,Plasminogen,Bronchoalveolar lavage of normal lung_P20918.html,593814020
Plg,P20918,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1071.2,Plasminogen,Normal lung_P20918.html,51013900
Plg,P20918,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1071.2,Plasminogen,Normal lung_P20918.html,51013900
Plg,P20918,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1071.2,Plasminogen,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P20918.html,27979000
Plg,P20918,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1071.2,Plasminogen,Normal lung ECM (Quantitative detergent solubility profiling)_P20918.html,335407008
Tinagl1,Q99JR5,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,1045.63,Tubulointerstitial nephritis antigen-like,Normal lung_Q99JR5.html,758590980
Tinagl1,Q99JR5,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,1045.63,Tubulointerstitial nephritis antigen-like,Normal lung_Q99JR5.html,758590980
Tinagl1,Q99JR5,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,1045.63,Tubulointerstitial nephritis antigen-like,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q99JR5.html,171776992
Tinagl1,Q99JR5,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,1045.63,Tubulointerstitial nephritis antigen-like,Normal lung ECM (Quantitative detergent solubility profiling)_Q99JR5.html,364529984
Lgals3,P16110,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1015.14,Galectin-3,Bronchoalveolar lavage of fibrotic lung_P16110.html,3002980100
Lgals3,P16110,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,1015.14,Galectin-3,Bronchoalveolar lavage of normal lung_P16110.html,154834000
